handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_dbe4fdb0-30d0-4a76-8334-060f1f1c1e13,MEDIA,,,,,,53e401_316fdc2e1d9243d19987cc4db6bec429~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_07814e3e-5c90-4254-b83e-f0a49b9749ff,PRODUCT,Поводырь,true,"<p>Владимир Шемшук известен нам как иследователь древней русской культуры и пропагандист Священных Рощ. Однако читателю будет интересно узнать его и со стороны писателя, работающего в жанре короткого рассказа. Его наблюдения сегодняшней жизни точны и выпуклы. Но это не просто констатация увиденного, это еще и филосовское осмысление происходящего. В нашем обществе делается все, чтобы никто не замечал, как люди мучаются от боли, которую испытывают не только взрослые, но и дети. И нельзя допустить, чтобы равнодушие и черствость стали основой общества. Главный вывод, следующий из его рассказов, что нам нельзя в это трудное время ни победить, ни выстоять без правды жизни.&nbsp;</p>",в-поисках-сокровенного,,,,,,500,,,,,,,IN_STOCK,false,,,978-5-91898-009-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_07814e3e-5c90-4254-b83e-f0a49b9749ff,MEDIA,,,,,,53e401_6fd8a137adba4936b1c4dfe53ff83177~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_8f5aef5e-7da5-464c-ad53-87a50c72de03,PRODUCT,Пособие для жрецов и кудесников,true,"<p>В этой работе изложены основы&nbsp;<span style=""font-weight: 700"">древлеправославной веры</span>, покоящейся на чудесных дисциплинах&nbsp;<span style=""font-weight: 700"">русской волшебной культуры</span>. Книга рассчитана на читателей, познакомившихся с работами автора из серии ""<em>В поисках сокровенног</em>о"".</p>",рекомендованные-для-учащихся-шж,,,,,,1500,,,,,,,IN_STOCK,false,,,978-5-91898-038-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_8f5aef5e-7da5-464c-ad53-87a50c72de03,MEDIA,,,,,,53e401_0812520f10eb4284a0e30022535c0a50~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_be684130-1ffa-4321-a9b9-6f8e19491326,PRODUCT,Путь в Общину,true,"<p>В книге рассмотрены условия жизненности общин, дан исторический анализ и прогноз их развития. Община-это тот социальный инструмент, который может вернуть человеку его прежнее могущество и совершенство.</p>",в-поисках-сокровенного,,,,,,800,,,,,,,IN_STOCK,false,,,978-5-91898-012-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_be684130-1ffa-4321-a9b9-6f8e19491326,MEDIA,,,,,,c6fba9_e03fd9a5139447bf98dd08dc47133d17~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_147d86b5-8ce7-4ca4-9216-7c2a54d1d3f5,PRODUCT,Русь Борейская,true,"<p>Книга ""Русь борейская""&nbsp;входит в серию ""В поисках сокровенного"". В ней осуществлена попытка воссоздания развёрнутой панорамы непроявленных событий в истории России и вскрыты причины волшебности русской культуры.</p>",рекомендованные-для-учащихся-шж,,,,,,1000,,,,,,,IN_STOCK,false,,,5-93897-007-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_147d86b5-8ce7-4ca4-9216-7c2a54d1d3f5,MEDIA,,,,,,53e401_e8b3b2050d7245b8962fbc228f71f628~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_cbb3c56e-33a6-499b-b7f8-c57cd133ad3a,PRODUCT,Славы русским Богам,true,<p>В этой книге представлены читателю в стихотворной форме Славы русским Богам.</p>,рекомендованные-для-учащихся-шж;в-поисках-сокровенного,,,,,,700,,,,,,,IN_STOCK,false,,,978-5-88917-003-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_cbb3c56e-33a6-499b-b7f8-c57cd133ad3a,MEDIA,,,,,,53e401_00aae5df1e0e4d959fe906b35b2382f8~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_10e77402-f46e-4bbe-b362-02229ce61662,PRODUCT,Словарь терминов по Русской волшебной культуре,true,"<p>В словаре рассмотрены значения как обычных, но имевших совсем иное значение, так и исчезнувших слов, характеризовавших волшебность древлеправославной русской культуры.&nbsp;Предназначена для слушателей Школы Жрецов.</p>",русская-волшебная-культура,,,,,,1500,,,,,,,IN_STOCK,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_10e77402-f46e-4bbe-b362-02229ce61662,MEDIA,,,,,,53e401_b26d170321254c519bd98784693ab35e~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d0b97974-de62-4958-bc46-5b8ca8dcfc18,PRODUCT,Солнце-и праноедение,true,"<p>Книга предназначена для всех, кто рискует оказаться на самом дне жизни: для бизнесменов, банкиров, предпринимателей, директоров фирм и заводов, крупных и не очень крупных чиновников, политиков, знаменитостей, фермеров, должников, набравших кредитов в банках, просто людей не подозревающих, о своём будущем крахе, для всех тех, кто рискует оказаться в ситуации, когда в течение&nbsp;года, а может быть и нескольких лет, будет всем нечего есть. Предчувствуя такой вариант событий (а он происходит у каждого человека с железной необходимостью), нужно заблаговременно подготовиться к этим испытаниям. Чтобы с честью их пройти, нужно научить организм прано- и солнцеедению. Правильный переход на солнце и праноеедение позволит человеку сохранять жизнь и здоровье&nbsp;и дожить до благополучных дней, когда снова появятся условия для нормальной жизни.В этой книге изложены условия безболезненного перехода на многолетнее существование человека без воды и еды.</p>",в-поисках-сокровенного,,,,,,800,,,,,,,IN_STOCK,false,,,978-5-91898-037-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d0b97974-de62-4958-bc46-5b8ca8dcfc18,MEDIA,,,,,,53e401_2719b9c5cb9947bba4ac7cf768c90a80~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_3d2a2233-96fc-4046-a25b-70fae619f70e,PRODUCT,Старинное описание цивилизаций Солнечной системы,false,"<p>С главы книги Карышевой И.А. ""Сущность жизни"", изданной в С.Петербурге в 1897 году мы начинаем печатать письменные источники по русской волшебной культуре. В этой книге в какой то степени можно увидеть, как Человечество опускалось от уровня Повелителей Вселенных, до современного животного уровня.&nbsp;</p>",,,,,,,80,,,,,,0,OUT_OF_STOCK,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_3d2a2233-96fc-4046-a25b-70fae619f70e,MEDIA,,,,,,53e401_a3f2b1196f1e4e80b3709f49f3443e6d~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
